"","South Viet Nam","Guangdong","Guangzhou","Guangzhou","Guangzhou","Guangzhou","Sao Paulo","Hawaii","South Viet Nam","Tahiti","Jaipur","Bangkok","South Viet Nam","Shizuoka","Buenos Aires","South Viet Nam","South Viet Nam","Sao Paulo","Odisha","Hyderabad","Iquitos","Guangdong","Dhule","Jaipur","Nanhai","Pune","Vellore","Kolkata","South Viet Nam","Bangkok","South Viet Nam","Masaya","Jakarta","Karachi","Vellore","Makassar","Zhongshan","Cuiaba","Karachi","Guangzhou","Santander"
"Jaipur",3661420.24570672,3835038.47954736,3792270.19840316,3792270.19840316,3792270.19840316,3792270.19840316,14265799.8571088,12436269.72842,3661420.24570672,15285004.8755963,0,2954297.82318676,3661420.24570672,5952738.47158683,15594786.854057,3661420.24570672,3661420.24570672,14265799.8571088,1154482.40327299,1091012.21054453,15848796.6324479,3835038.47954736,673380.558692716,0,3783009.58574706,950213.885158188,1588278.79325137,1359148.00869667,3661420.24570672,2954297.82318676,3661420.24570672,15282345.1453262,4961638.18323661,908242.979492948,1588278.79325137,5885689.2419753,3822205.03490076,14913541.3084249,908242.979492948,3792270.19840316,15054110.0782753
"Bangkok",840972.221421476,1757031.74655401,1699359.00183238,1699359.00183238,1699359.00183238,1699359.00183238,16408209.0098665,10908774.6206386,840972.221421476,12567158.3061068,2954297.82318676,0,840972.221421476,4463935.92392058,16878573.1285986,840972.221421476,840972.221421476,16408209.0098665,1818876.64564209,2393708.06739922,18709796.1932149,1757031.74655401,2842624.35916665,2954297.82318676,1682832.85083699,2895311.19919535,2316193.94638279,1611417.8586088,840972.221421476,0,840972.221421476,17069206.1832342,2313675.87569783,3715849.81959099,2316193.94638279,2957358.09810737,1672053.85042016,17507648.1427749,3715849.81959099,1699359.00183238,17659689.5842563
"South Viet Nam",0,1182456.47928557,1133299.15889631,1133299.15889631,1133299.15889631,1133299.15889631,17189647.8454955,10116124.5400325,0,11760082.7096485,3661420.24570672,840972.221421476,0,3804028.53496632,17369015.4640997,0,0,17189647.8454955,2573700.1152576,3210894.14214318,18851458.6678895,1182456.47928557,3630742.44057132,3661420.24570672,1117654.51679743,3706188.88651447,3156042.60739682,2303139.01441405,0,840972.221421476,0,16725292.5685272,2243065.11883762,4475925.78033322,3156042.60739682,2455551.74872005,1080978.22293818,18344920.3010612,4475925.78033322,1133299.15889631,17704837.5947264
"Shizuoka",3804028.53496632,2707094.73023926,2764899.77759954,2764899.77759954,2764899.77759954,2764899.77759954,18650520.5343357,6622156.33261502,3804028.53496632,9584799.58170232,5952738.47158683,4463935.92392058,3804028.53496632,0,18493384.3169592,3804028.53496632,3804028.53496632,18650520.5343357,5402035.07588389,6201581.95669613,15264098.8677858,2707094.73023926,6346714.40481283,5952738.47158683,2781377.85599441,6560547.9699062,6405498.74578834,5019577.51071703,3804028.53496632,4463935.92392058,3804028.53496632,13019423.0304956,5628204.28133998,6841332.36104197,6405498.74578834,4865265.64887797,2792500.51165092,17424096.1480468,6841332.36104197,2764899.77759954,14310986.8648526
"Buenos Aires",17369015.4640997,18551309.4454834,18502116.6336983,18502116.6336983,18502116.6336983,18502116.6336983,1673460.05966212,11881571.6115046,17369015.4640997,9010911.10549086,15594786.854057,16878573.1285986,17369015.4640997,18493384.3169592,0,17369015.4640997,17369015.4640997,1673460.05966212,16148144.1522506,15349265.6472395,3746613.3993653,18551309.4454834,15212763.9451518,15594786.854057,18486316.8656068,14998222.9697984,15123100.6526361,16530225.0633633,17369015.4640997,16878573.1285986,17369015.4640997,5927632.93081299,15234529.350595,14698575.1528776,15123100.6526361,15598186.5247527,18449369.5474261,2117463.68048077,14698575.1528776,18502116.6336983,4839666.48581029
"South Viet Nam",0,1182456.47928557,1133299.15889631,1133299.15889631,1133299.15889631,1133299.15889631,17189647.8454955,10116124.5400325,0,11760082.7096485,3661420.24570672,840972.221421476,0,3804028.53496632,17369015.4640997,0,0,17189647.8454955,2573700.1152576,3210894.14214318,18851458.6678895,1182456.47928557,3630742.44057132,3661420.24570672,1117654.51679743,3706188.88651447,3156042.60739682,2303139.01441405,0,840972.221421476,0,16725292.5685272,2243065.11883762,4475925.78033322,3156042.60739682,2455551.74872005,1080978.22293818,18344920.3010612,4475925.78033322,1133299.15889631,17704837.5947264
"South Viet Nam",0,1182456.47928557,1133299.15889631,1133299.15889631,1133299.15889631,1133299.15889631,17189647.8454955,10116124.5400325,0,11760082.7096485,3661420.24570672,840972.221421476,0,3804028.53496632,17369015.4640997,0,0,17189647.8454955,2573700.1152576,3210894.14214318,18851458.6678895,1182456.47928557,3630742.44057132,3661420.24570672,1117654.51679743,3706188.88651447,3156042.60739682,2303139.01441405,0,840972.221421476,0,16725292.5685272,2243065.11883762,4475925.78033322,3156042.60739682,2455551.74872005,1080978.22293818,18344920.3010612,4475925.78033322,1133299.15889631,17704837.5947264
"Sao Paulo",17189647.8454955,18030711.5739263,17977520.4542591,17977520.4542591,17977520.4542591,17977520.4542591,0,12744814.8129837,17189647.8454955,10483743.2017671,14265799.8571088,16408209.0098665,17189647.8454955,18650520.5343357,1673460.05966212,17189647.8454955,17189647.8454955,0,15071100.5548944,14298467.8842485,3604353.57221776,18030711.5739263,14025765.5436241,14265799.8571088,17964141.218444,13863190.3747019,14209827.7726329,15437922.7881754,17189647.8454955,16408209.0098665,17189647.8454955,5821577.56731197,15646115.6395941,13358590.511269,14209827.7726329,16492597.8439005,17983359.5725524,1325932.04101347,13358590.511269,17977520.4542591,4448230.6460222
"Odisha",2573700.1152576,2963937.41449776,2913166.99382425,2913166.99382425,2913166.99382425,2913166.99382425,15071100.5548944,12021330.5554222,2573700.1152576,14317390.0658356,1154482.40327299,1818876.64564209,2573700.1152576,5402035.07588389,16148144.1522506,2573700.1152576,2573700.1152576,15071100.5548944,0,799551.237438954,17003277.1313997,2963937.41449776,1073692.75301633,1154482.40327299,2900933.70667841,1208383.10945908,1092600.39262478,382457.936814957,2573700.1152576,1818876.64564209,2573700.1152576,16238984.1658483,3829281.14548136,1903917.81042435,1092600.39262478,4732480.25901995,2927967.75830531,15897593.9624126,1903917.81042435,2913166.99382425,16179942.4059963
"Hyderabad",3210894.14214318,3732381.30646269,3679737.52016145,3679737.52016145,3679737.52016145,3679737.52016145,14298467.8842485,12820325.321045,3210894.14214318,14960405.87308,1091012.21054453,2393708.06739922,3210894.14214318,6201581.95669613,15349265.6472395,3210894.14214318,3210894.14214318,14298467.8842485,799551.237438954,0,16596521.2901815,3732381.30646269,551502.874640581,1091012.21054453,3666713.59663642,506283.092564456,499290.612760231,1182008.5942164,3210894.14214318,2393708.06739922,3210894.14214318,16347756.3025195,4065661.20531584,1450232.53478078,499290.612760231,5144558.4240982,3689440.33034694,15192509.0404752,1450232.53478078,3679737.52016145,15966397.4995755
"Iquitos",18851458.6678895,17707269.3139943,17750163.8382198,17750163.8382198,17750163.8382198,17750163.8382198,3604353.57221776,9356894.51339896,18851458.6678895,8425918.40871715,15848796.6324479,18709796.1932149,18851458.6678895,15264098.8677858,3746613.3993653,18851458.6678895,18851458.6678895,3604353.57221776,17003277.1313997,16596521.2901815,0,17707269.3139943,16080918.9818233,15848796.6324479,17764610.0284357,16094857.9755835,16830542.1587271,17143084.1661978,18851458.6678895,18709796.1932149,18851458.6678895,2244675.84121533,18907064.4963759,15175318.7626408,16830542.1587271,18306841.702849,17809887.5866125,2291258.26722472,15175318.7626408,17750163.8382198,1149484.46388989
"Guangdong",1182456.47928557,0,58072.3286214546,58072.3286214546,58072.3286214546,58072.3286214546,18030711.5739263,9222004.36868099,1182456.47928557,11450007.5342869,3835038.47954736,1757031.74655401,1182456.47928557,2707094.73023926,18551309.4454834,1182456.47928557,1182456.47928557,18030711.5739263,2963937.41449776,3732381.30646269,17707269.3139943,0,4019423.3271241,3835038.47954736,74358.7454952607,4172306.08374219,3831324.23997887,2602668.72374692,1182456.47928557,1757031.74655401,1182456.47928557,15542882.7405409,3354331.2750438,4732156.99465218,3831324.23997887,3215330.96503655,102689.211345591,18653585.6437399,4732156.99465218,58072.3286214546,16587905.0756792
"Dhule",3630742.44057132,4019423.3271241,3970399.85250023,3970399.85250023,3970399.85250023,3970399.85250023,14025765.5436241,12920542.8597133,3630742.44057132,15387061.7481486,673380.558692716,2842624.35916665,3630742.44057132,6346714.40481283,15212763.9451518,3630742.44057132,3630742.44057132,14025765.5436241,1073692.75301633,551502.874640581,16080918.9818233,4019423.3271241,0,673380.558692716,3958831.83892259,280891.237673303,998258.150552628,1417351.45978447,3630742.44057132,2842624.35916665,3630742.44057132,15815869.8353774,4612219.90053548,909041.741735031,998258.150552628,5664433.34929383,3988836.40960277,14823908.867673,909041.741735031,3970399.85250023,15418022.4510917
"Jaipur",3661420.24570672,3835038.47954736,3792270.19840316,3792270.19840316,3792270.19840316,3792270.19840316,14265799.8571088,12436269.72842,3661420.24570672,15285004.8755963,0,2954297.82318676,3661420.24570672,5952738.47158683,15594786.854057,3661420.24570672,3661420.24570672,14265799.8571088,1154482.40327299,1091012.21054453,15848796.6324479,3835038.47954736,673380.558692716,0,3783009.58574706,950213.885158188,1588278.79325137,1359148.00869667,3661420.24570672,2954297.82318676,3661420.24570672,15282345.1453262,4961638.18323661,908242.979492948,1588278.79325137,5885689.2419753,3822205.03490076,14913541.3084249,908242.979492948,3792270.19840316,15054110.0782753
"Nanhai",1117654.51679743,74358.7454952607,16631.017895795,16631.017895795,16631.017895795,16631.017895795,17964141.218444,9294559.70233937,1117654.51679743,11502517.0499522,3783009.58574706,1682832.85083699,1117654.51679743,2781377.85599441,18486316.8656068,1117654.51679743,1117654.51679743,17964141.218444,2900933.70667841,3666713.59663642,17764610.0284357,74358.7454952607,3958831.83892259,3783009.58574706,0,4109146.82059877,3761465.21352914,2541641.49325513,1117654.51679743,1682832.85083699,1117654.51679743,15608401.7146195,3302067.32930198,4678167.9528491,3761465.21352914,3191155.14895666,62148.9654338681,18626163.7369674,4678167.9528491,16631.017895795,16640671.195916
"Pune",3706188.88651447,4172306.08374219,4121442.25728933,4121442.25728933,4121442.25728933,4121442.25728933,13863190.3747019,13154094.5147622,3706188.88651447,15462294.955876,950213.885158188,2895311.19919535,3706188.88651447,6560547.9699062,14998222.9697984,3706188.88651447,3706188.88651447,13863190.3747019,1208383.10945908,506283.092564456,16094857.9755835,4172306.08374219,280891.237673303,950213.885158188,4109146.82059877,0,839024.914217285,1577031.98139098,3706188.88651447,2895311.19919535,3706188.88651447,15985902.746562,4537428.53372351,997078.692034532,839024.914217285,5643391.74421743,4135661.2486711,14713153.2534907,997078.692034532,4121442.25728933,15499858.8440178
"Vellore",3156042.60739682,3831324.23997887,3775801.75575492,3775801.75575492,3775801.75575492,3775801.75575492,14209827.7726329,13021453.759527,3156042.60739682,14806027.23584,1588278.79325137,2316193.94638279,3156042.60739682,6405498.74578834,15123100.6526361,3156042.60739682,3156042.60739682,14209827.7726329,1092600.39262478,499290.612760231,16830542.1587271,3831324.23997887,998258.150552628,1588278.79325137,3761465.21352914,839024.914217285,0,1448302.91433689,3156042.60739682,2316193.94638279,3156042.60739682,16812544.156771,3723725.0347875,1836042.9273106,0,4883863.54379699,3775909.96028222,15203166.385241,1836042.9273106,3775801.75575492,16319008.4918313
"Kolkata",2303139.01441405,2602668.72374692,2553303.79702872,2553303.79702872,2553303.79702872,2553303.79702872,15437922.7881754,11639093.7525007,2303139.01441405,14000247.4084098,1359148.00869667,1611417.8586088,2303139.01441405,5019577.51071703,16530225.0633633,2303139.01441405,2303139.01441405,15437922.7881754,382457.936814957,1182008.5942164,17143084.1661978,2602668.72374692,1417351.45978447,1359148.00869667,2541641.49325513,1577031.98139098,1448302.91433689,0,2303139.01441405,1611417.8586088,2303139.01441405,16136037.6745906,3764994.95536105,2189956.53810695,1448302.91433689,4565076.50248388,2571490.30907482,16223204.5187286,2189956.53810695,2553303.79702872,16232942.4606864
"South Viet Nam",0,1182456.47928557,1133299.15889631,1133299.15889631,1133299.15889631,1133299.15889631,17189647.8454955,10116124.5400325,0,11760082.7096485,3661420.24570672,840972.221421476,0,3804028.53496632,17369015.4640997,0,0,17189647.8454955,2573700.1152576,3210894.14214318,18851458.6678895,1182456.47928557,3630742.44057132,3661420.24570672,1117654.51679743,3706188.88651447,3156042.60739682,2303139.01441405,0,840972.221421476,0,16725292.5685272,2243065.11883762,4475925.78033322,3156042.60739682,2455551.74872005,1080978.22293818,18344920.3010612,4475925.78033322,1133299.15889631,17704837.5947264
"Bangkok",840972.221421476,1757031.74655401,1699359.00183238,1699359.00183238,1699359.00183238,1699359.00183238,16408209.0098665,10908774.6206386,840972.221421476,12567158.3061068,2954297.82318676,0,840972.221421476,4463935.92392058,16878573.1285986,840972.221421476,840972.221421476,16408209.0098665,1818876.64564209,2393708.06739922,18709796.1932149,1757031.74655401,2842624.35916665,2954297.82318676,1682832.85083699,2895311.19919535,2316193.94638279,1611417.8586088,840972.221421476,0,840972.221421476,17069206.1832342,2313675.87569783,3715849.81959099,2316193.94638279,2957358.09810737,1672053.85042016,17507648.1427749,3715849.81959099,1699359.00183238,17659689.5842563
"South Viet Nam",0,1182456.47928557,1133299.15889631,1133299.15889631,1133299.15889631,1133299.15889631,17189647.8454955,10116124.5400325,0,11760082.7096485,3661420.24570672,840972.221421476,0,3804028.53496632,17369015.4640997,0,0,17189647.8454955,2573700.1152576,3210894.14214318,18851458.6678895,1182456.47928557,3630742.44057132,3661420.24570672,1117654.51679743,3706188.88651447,3156042.60739682,2303139.01441405,0,840972.221421476,0,16725292.5685272,2243065.11883762,4475925.78033322,3156042.60739682,2455551.74872005,1080978.22293818,18344920.3010612,4475925.78033322,1133299.15889631,17704837.5947264
"Masaya",16725292.5685272,15542882.7405409,15592591.5211913,15592591.5211913,15592591.5211913,15592591.5211913,5821577.56731197,7445175.32110481,16725292.5685272,7692578.55128622,15282345.1453262,17069206.1832342,16725292.5685272,13019423.0304956,5927632.93081299,16725292.5685272,16725292.5685272,5821577.56731197,16238984.1658483,16347756.3025195,2244675.84121533,15542882.7405409,15815869.8353774,15282345.1453262,15608401.7146195,15985902.746562,16812544.156771,16136037.6745906,16725292.5685272,17069206.1832342,16725292.5685272,0,18469907.2756044,15001026.6186498,16812544.156771,17127487.7413566,15644320.4422663,4496347.47944549,15001026.6186498,15592591.5211913,1487230.1627515
"Jakarta",2243065.11883762,3354331.2750438,3315627.81634834,3315627.81634834,3315627.81634834,3315627.81634834,15646115.6395941,11036370.5495382,2243065.11883762,11250904.1181669,4961638.18323661,2313675.87569783,2243065.11883762,5628204.28133998,15234529.350595,2243065.11883762,2243065.11883762,15646115.6395941,3829281.14548136,4065661.20531584,18907064.4963759,3354331.2750438,4612219.90053548,4961638.18323661,3302067.32930198,4537428.53372351,3723725.0347875,3764994.95536105,2243065.11883762,2313675.87569783,2243065.11883762,18469907.2756044,0,5515814.1373739,3723725.0347875,1396832.61412131,3252676.57572235,16961865.1376114,5515814.1373739,3315627.81634834,19938538.819149
"Karachi",4475925.78033322,4732156.99465218,4687958.58478772,4687958.58478772,4687958.58478772,4687958.58478772,13358590.511269,13251590.7942268,4475925.78033322,16178366.9351962,908242.979492948,3715849.81959099,4475925.78033322,6841332.36104197,14698575.1528776,4475925.78033322,4475925.78033322,13358590.511269,1903917.81042435,1450232.53478078,15175318.7626408,4732156.99465218,909041.741735031,908242.979492948,4678167.9528491,997078.692034532,1836042.9273106,2189956.53810695,4475925.78033322,3715849.81959099,4475925.78033322,15001026.6186498,5515814.1373739,0,1836042.9273106,6570639.1724831,4715373.71753168,14039669.432019,0,4687958.58478772,14517101.1054462
"Vellore",3156042.60739682,3831324.23997887,3775801.75575492,3775801.75575492,3775801.75575492,3775801.75575492,14209827.7726329,13021453.759527,3156042.60739682,14806027.23584,1588278.79325137,2316193.94638279,3156042.60739682,6405498.74578834,15123100.6526361,3156042.60739682,3156042.60739682,14209827.7726329,1092600.39262478,499290.612760231,16830542.1587271,3831324.23997887,998258.150552628,1588278.79325137,3761465.21352914,839024.914217285,0,1448302.91433689,3156042.60739682,2316193.94638279,3156042.60739682,16812544.156771,3723725.0347875,1836042.9273106,0,4883863.54379699,3775909.96028222,15203166.385241,1836042.9273106,3775801.75575492,16319008.4918313
"Makassar",2455551.74872005,3215330.96503655,3199173.00273656,3199173.00273656,3199173.00273656,3199173.00273656,16492597.8439005,9686942.00075184,2455551.74872005,9965855.35037534,5885689.2419753,2957358.09810737,2455551.74872005,4865265.64887797,15598186.5247527,2455551.74872005,2455551.74872005,16492597.8439005,4732480.25901995,5144558.4240982,18306841.702849,3215330.96503655,5664433.34929383,5885689.2419753,3191155.14895666,5643391.74421743,4883863.54379699,4565076.50248388,2455551.74872005,2957358.09810737,2455551.74872005,17127487.7413566,1396832.61412131,6570639.1724831,4883863.54379699,0,3130217.01197497,17658295.4712722,6570639.1724831,3199173.00273656,18578252.1464968
"Zhongshan",1080978.22293818,102689.211345591,68991.7352719984,68991.7352719984,68991.7352719984,68991.7352719984,17983359.5725524,9288672.62904133,1080978.22293818,11464240.0840213,3822205.03490076,1672053.85042016,1080978.22293818,2792500.51165092,18449369.5474261,1080978.22293818,1080978.22293818,17983359.5725524,2927967.75830531,3689440.33034694,17809887.5866125,102689.211345591,3988836.40960277,3822205.03490076,62148.9654338681,4135661.2486711,3775909.96028222,2571490.30907482,1080978.22293818,1672053.85042016,1080978.22293818,15644320.4422663,3252676.57572235,4715373.71753168,3775909.96028222,3130217.01197497,0,18679501.8393363,4715373.71753168,68991.7352719984,16689691.6143871
"Cuiaba",18344920.3010612,18653585.6437399,18629739.9746404,18629739.9746404,18629739.9746404,18629739.9746404,1325932.04101347,11562175.5779746,18344920.3010612,9840896.12740727,14913541.3084249,17507648.1427749,18344920.3010612,17424096.1480468,2117463.68048077,18344920.3010612,18344920.3010612,1325932.04101347,15897593.9624126,15192509.0404752,2291258.26722472,18653585.6437399,14823908.867673,14913541.3084249,18626163.7369674,14713153.2534907,15203166.385241,16223204.5187286,18344920.3010612,17507648.1427749,18344920.3010612,4496347.47944549,16961865.1376114,14039669.432019,15203166.385241,17658295.4712722,18679501.8393363,0,14039669.432019,18629739.9746404,3130499.83186232
"Karachi",4475925.78033322,4732156.99465218,4687958.58478772,4687958.58478772,4687958.58478772,4687958.58478772,13358590.511269,13251590.7942268,4475925.78033322,16178366.9351962,908242.979492948,3715849.81959099,4475925.78033322,6841332.36104197,14698575.1528776,4475925.78033322,4475925.78033322,13358590.511269,1903917.81042435,1450232.53478078,15175318.7626408,4732156.99465218,909041.741735031,908242.979492948,4678167.9528491,997078.692034532,1836042.9273106,2189956.53810695,4475925.78033322,3715849.81959099,4475925.78033322,15001026.6186498,5515814.1373739,0,1836042.9273106,6570639.1724831,4715373.71753168,14039669.432019,0,4687958.58478772,14517101.1054462
"Guangzhou",1133299.15889631,58072.3286214546,0,0,0,0,17977520.4542591,9279244.59485537,1133299.15889631,11493079.057413,3792270.19840316,1699359.00183238,1133299.15889631,2764899.77759954,18502116.6336983,1133299.15889631,1133299.15889631,17977520.4542591,2913166.99382425,3679737.52016145,17750163.8382198,58072.3286214546,3970399.85250023,3792270.19840316,16631.017895795,4121442.25728933,3775801.75575492,2553303.79702872,1133299.15889631,1699359.00183238,1133299.15889631,15592591.5211913,3315627.81634834,4687958.58478772,3775801.75575492,3199173.00273656,68991.7352719984,18629739.9746404,4687958.58478772,0,16627016.5949345
"Santander",17704837.5947264,16587905.0756792,16627016.5949345,16627016.5949345,16627016.5949345,16627016.5949345,4448230.6460222,8925981.75306414,17704837.5947264,8745637.67757521,15054110.0782753,17659689.5842563,17704837.5947264,14310986.8648526,4839666.48581029,17704837.5947264,17704837.5947264,4448230.6460222,16179942.4059963,15966397.4995755,1149484.46388989,16587905.0756792,15418022.4510917,15054110.0782753,16640671.195916,15499858.8440178,16319008.4918313,16232942.4606864,17704837.5947264,17659689.5842563,17704837.5947264,1487230.1627515,19938538.819149,14517101.1054462,16319008.4918313,18578252.1464968,16689691.6143871,3130499.83186232,14517101.1054462,16627016.5949345,0
