"","Cambodia","Viet Nam","India","China","China","China","China","China","Brazil","Myanmar","Thailand","United States","Viet Nam","Malaysia","Angola","India","Myanmar","French Polynesia","India","Philippines","Thailand","South Korea","Viet Nam","Japan","India","Argentina","Viet Nam","Viet Nam","Cambodia","Brazil","Burkina Faso","India","Puerto Rico","India","Peru","Philippines","Philippines","Philippines","India","Cuba","China","India","India","Cambodia","China","India","India","India","Puerto Rico","Thailand","Singapore","Viet Nam","Malaysia","Puerto Rico","Nigeria","Senegal","Senegal","Malaysia","Thailand","Viet Nam","Indonesia","Puerto Rico","Nicaragua","India","China","Philippines","Indonesia","Pakistan","India","Indonesia","Puerto Rico","Sri Lanka","China","Puerto Rico","Brazil","Singapore","Pakistan","China","Malaysia","Haiti","Colombia","India","India"
"Thailand",565541.070688045,808761.542839056,2385678.58265188,2237673.62037567,2237673.62037567,2237673.62037567,2237673.62037567,2237673.62037567,17119391.8635444,853889.958536906,0,13888034.5071084,808761.542839056,1294161.10818198,9630790.97615651,2385678.58265188,853889.958536906,12571354.6362494,2385678.58265188,2264646.59055604,0,3460625.93728308,808761.542839056,4316476.31388094,2385678.58265188,17093092.9271796,808761.542839056,808761.542839056,565541.070688045,17119391.8635444,10957373.0026455,2385678.58265188,15998699.8293839,2385678.58265188,19154853.4735549,2264646.59055604,2264646.59055604,2264646.59055604,2385678.58265188,15865691.1898124,2237673.62037567,2385678.58265188,2385678.58265188,565541.070688045,2237673.62037567,2385678.58265188,2385678.58265188,2385678.58265188,15998699.8293839,0,1635466.02050583,808761.542839056,1294161.10818198,15998699.8293839,9989482.17528801,12176912.6213835,12176912.6213835,1294161.10818198,0,808761.542839056,2327159.86389195,15998699.8293839,16754779.6535037,2385678.58265188,2237673.62037567,2264646.59055604,2327159.86389195,3599889.20578994,2385678.58265188,2327159.86389195,15998699.8293839,2371775.81427662,2237673.62037567,15998699.8293839,17119391.8635444,1635466.02050583,3599889.20578994,2237673.62037567,1294161.10818198,16081590.9612212,17686042.531104,2385678.58265188,2385678.58265188
"United States",14099407.1540629,13814058.6039982,13595100.2147985,11671172.6808081,11671172.6808081,11671172.6808081,11671172.6808081,11671172.6808081,7300569.28545571,13359978.8526763,13888034.5071084,0,13814058.6039982,15081199.1362854,12845580.7671256,13595100.2147985,13359978.8526763,8271396.00171867,13595100.2147985,13232391.660407,13888034.5071084,10765731.9601856,13814058.6039982,10172755.9670491,13595100.2147985,8986296.36449905,13814058.6039982,13814058.6039982,14099407.1540629,7300569.28545571,9563930.44071649,13595100.2147985,3529021.47783819,13595100.2147985,5560032.74210595,13232391.660407,13232391.660407,13232391.660407,13595100.2147985,2443423.03700342,11671172.6808081,13595100.2147985,13595100.2147985,14099407.1540629,11671172.6808081,13595100.2147985,13595100.2147985,13595100.2147985,3529021.47783819,13888034.5071084,15299459.5912373,13814058.6039982,15081199.1362854,3529021.47783819,10661131.4230789,8287267.07857786,8287267.07857786,15081199.1362854,13888034.5071084,13814058.6039982,14971883.8137294,3529021.47783819,2880796.79349306,13595100.2147985,11671172.6808081,13232391.660407,14971883.8137294,12376044.7437584,13595100.2147985,14971883.8137294,3529021.47783819,15013461.3937397,11671172.6808081,3529021.47783819,7300569.28545571,15299459.5912373,12376044.7437584,11671172.6808081,15081199.1362854,3039815.67991517,4211352.99046019,13595100.2147985,13595100.2147985
"Viet Nam",392473.658799857,0,3193812.48550172,2449615.78546478,2449615.78546478,2449615.78546478,2449615.78546478,2449615.78546478,17898568.2140711,1566920.24545396,808761.542839056,13814058.6039982,0,1290295.51368974,10358203.5345664,3193812.48550172,1566920.24545396,11762641.7234253,3193812.48550172,1466992.84953744,808761.542839056,3105824.642409,0,3863628.37870531,3193812.48550172,17191313.6191567,0,0,392473.658799857,17898568.2140711,11765619.8636894,3193812.48550172,16390313.1193269,3193812.48550172,19365997.7216168,1466992.84953744,1466992.84953744,1466992.84953744,3193812.48550172,16013884.5275178,2449615.78546478,3193812.48550172,3193812.48550172,392473.658799857,2449615.78546478,3193812.48550172,3193812.48550172,3193812.48550172,16390313.1193269,808761.542839056,1488493.87190405,0,1290295.51368974,16390313.1193269,10796289.9256091,12975750.5390111,12975750.5390111,1290295.51368974,808761.542839056,0,1756037.24266809,16390313.1193269,16682068.9601001,3193812.48550172,2449615.78546478,1466992.84953744,1756037.24266809,4372686.68744927,3193812.48550172,1756037.24266809,16390313.1193269,3080590.50962752,2449615.78546478,16390313.1193269,17898568.2140711,1488493.87190405,4372686.68744927,2449615.78546478,1290295.51368974,16350142.689186,17924771.8305642,3193812.48550172,3193812.48550172
"Malaysia",981835.409790536,1290295.51368974,3081285.36852024,3512022.98974191,3512022.98974191,3512022.98974191,3512022.98974191,3512022.98974191,16961599.9327095,2063921.86941227,1294161.10818198,15081199.1362854,1290295.51368974,0,9466097.07589236,3081285.36852024,2063921.86941227,12132031.172871,3081285.36852024,2378952.24182681,1294161.10818198,4395351.88575522,1290295.51368974,5131327.90565151,3081285.36852024,15947356.0237058,1290295.51368974,1290295.51368974,981835.409790536,16961599.9327095,11385269.9148737,3081285.36852024,17230129.8093156,3081285.36852024,19368817.6806123,2378952.24182681,2378952.24182681,2378952.24182681,3081285.36852024,17157385.0780914,3512022.98974191,3081285.36852024,3081285.36852024,981835.409790536,3512022.98974191,3081285.36852024,3081285.36852024,3081285.36852024,17230129.8093156,1294161.10818198,376743.395065706,1290295.51368974,0,17230129.8093156,10306802.3072395,12722881.4737965,12722881.4737965,0,1294161.10818198,1290295.51368974,1439186.02797653,17230129.8093156,17960108.2894426,3081285.36852024,3512022.98974191,2378952.24182681,1439186.02797653,4485638.66651291,3081285.36852024,1439186.02797653,17230129.8093156,2381524.11545063,3512022.98974191,17230129.8093156,16961599.9327095,376743.395065706,4485638.66651291,3512022.98974191,0,17365640.4602612,18953059.9431597,3081285.36852024,3081285.36852024
"Angola",9977061.54116329,10358203.5345664,7552972.16309478,10406703.1299104,10406703.1299104,10406703.1299104,10406703.1299104,10406703.1299104,7560522.00600925,9272582.83960112,9630790.97615651,12845580.7671256,10358203.5345664,9466097.07589236,0,7552972.16309478,9272582.83960112,16521988.1623479,7552972.16309478,11779137.0306907,9630790.97615651,12524523.2849061,10358203.5345664,13460396.9185293,7552972.16309478,8508508.12466013,10358203.5345664,10358203.5345664,9977061.54116329,7560522.00600925,3366835.08598123,7552972.16309478,9826580.89718491,7552972.16309478,10133086.4455664,11779137.0306907,11779137.0306907,11779137.0306907,7552972.16309478,11044842.3613913,10406703.1299104,7552972.16309478,7552972.16309478,9977061.54116329,10406703.1299104,7552972.16309478,7552972.16309478,7552972.16309478,9826580.89718491,9630790.97615651,9604503.0856351,10358203.5345664,9466097.07589236,9826580.89718491,2463584.01726045,4560600.44288294,4560600.44288294,9466097.07589236,9630790.97615651,10358203.5345664,10661460.7786859,9826580.89718491,11690918.3126323,7552972.16309478,10406703.1299104,11779137.0306907,10661460.7786859,7174357.37870587,7552972.16309478,10661460.7786859,9826580.89718491,7277909.17150742,10406703.1299104,9826580.89718491,7560522.00600925,9604503.0856351,7174357.37870587,10406703.1299104,9466097.07589236,10432221.101545,10352291.2878887,7552972.16309478,7552972.16309478
"India",2911710.18456438,3193812.48550172,0,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,14786726.7764834,1768919.4738407,2385678.58265188,13595100.2147985,3193812.48550172,3081285.36852024,7552972.16309478,0,1768919.4738407,14952230.4681685,0,4630752.91322594,2385678.58265188,5023111.01108752,3193812.48550172,5967874.80650014,0,15931070.2557653,3193812.48550172,3193812.48550172,2911710.18456438,14786726.7764834,8571812.3147628,0,14311254.6306172,0,16965035.3809337,4630752.91322594,4630752.91322594,4630752.91322594,0,14709852.471536,2984384.40855957,0,0,2911710.18456438,2984384.40855957,0,0,0,14311254.6306172,2385678.58265188,3439525.40055758,3193812.48550172,3081285.36852024,14311254.6306172,7620212.40674334,9803928.84972312,9803928.84972312,3081285.36852024,2385678.58265188,3193812.48550172,4482530.89460117,14311254.6306172,15923276.7137448,0,2984384.40855957,4630752.91322594,4482530.89460117,1450947.26708013,0,4482530.89460117,14311254.6306172,1420889.14335729,2984384.40855957,14311254.6306172,14786726.7764834,3439525.40055758,1450947.26708013,2984384.40855957,3081285.36852024,14630836.1409484,15985147.0415529,0,0
"Myanmar",1411164.81127757,1566920.24545396,1768919.4738407,1740299.43451399,1740299.43451399,1740299.43451399,1740299.43451399,1740299.43451399,16534985.0384353,0,853889.958536906,13359978.8526763,1566920.24545396,2063921.86941227,9272582.83960112,1768919.4738407,0,13217617.1972201,1768919.4738407,2914546.91055817,853889.958536906,3446373.05201968,1566920.24545396,4371935.55719186,1768919.4738407,17342412.9726708,1566920.24545396,1566920.24545396,1411164.81127757,16534985.0384353,10272754.0039317,1768919.4738407,15178847.8835713,1768919.4738407,18305876.042137,2914546.91055817,2914546.91055817,2914546.91055817,1768919.4738407,15151278.019416,1740299.43451399,1768919.4738407,1768919.4738407,1411164.81127757,1740299.43451399,1768919.4738407,1768919.4738407,1768919.4738407,15178847.8835713,853889.958536906,2429431.14579191,1566920.24545396,2063921.86941227,15178847.8835713,9365463.99895989,11434706.2169034,11434706.2169034,2063921.86941227,853889.958536906,1566920.24545396,3180908.85780889,15178847.8835713,16154523.4506355,1768919.4738407,1740299.43451399,2914546.91055817,3180908.85780889,2812732.8775781,1768919.4738407,3180908.85780889,15178847.8835713,2250982.53881857,1740299.43451399,15178847.8835713,16534985.0384353,2429431.14579191,2812732.8775781,1740299.43451399,2063921.86941227,15305558.4871381,16890988.544655,1768919.4738407,1768919.4738407
"French Polynesia",12065502.886915,11762641.7234253,14952230.4681685,12601197.440978,12601197.440978,12601197.440978,12601197.440978,12601197.440978,10311754.7667311,13217617.1972201,12571354.6362494,8271396.00171867,11762641.7234253,12132031.172871,16521988.1623479,14952230.4681685,13217617.1972201,0,14952230.4681685,10322117.2355381,12571354.6362494,10523200.4363642,11762641.7234253,9655466.75037229,14952230.4681685,8452667.12722744,11762641.7234253,11762641.7234253,12065502.886915,10311754.7667311,16527853.7594293,14952230.4681685,9893261.02423755,14952230.4681685,8065677.52754135,10322117.2355381,10322117.2355381,10322117.2355381,14952230.4681685,8929713.59019077,12601197.440978,14952230.4681685,14952230.4681685,12065502.886915,12601197.440978,14952230.4681685,14952230.4681685,14952230.4681685,9893261.02423755,12571354.6362494,11840914.6280812,11762641.7234253,12132031.172871,9893261.02423755,17476700.4732509,15213090.4276627,15213090.4276627,12132031.172871,12571354.6362494,11762641.7234253,10698225.2177448,9893261.02423755,7819817.42732266,14952230.4681685,12601197.440978,10322117.2355381,10698225.2177448,15867036.5492762,14952230.4681685,10698225.2177448,9893261.02423755,14495452.2758125,12601197.440978,9893261.02423755,10311754.7667311,11840914.6280812,15867036.5492762,12601197.440978,12132031.172871,9356032.03156281,8601002.60294617,14952230.4681685,14952230.4681685
"India",2911710.18456438,3193812.48550172,0,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,14786726.7764834,1768919.4738407,2385678.58265188,13595100.2147985,3193812.48550172,3081285.36852024,7552972.16309478,0,1768919.4738407,14952230.4681685,0,4630752.91322594,2385678.58265188,5023111.01108752,3193812.48550172,5967874.80650014,0,15931070.2557653,3193812.48550172,3193812.48550172,2911710.18456438,14786726.7764834,8571812.3147628,0,14311254.6306172,0,16965035.3809337,4630752.91322594,4630752.91322594,4630752.91322594,0,14709852.471536,2984384.40855957,0,0,2911710.18456438,2984384.40855957,0,0,0,14311254.6306172,2385678.58265188,3439525.40055758,3193812.48550172,3081285.36852024,14311254.6306172,7620212.40674334,9803928.84972312,9803928.84972312,3081285.36852024,2385678.58265188,3193812.48550172,4482530.89460117,14311254.6306172,15923276.7137448,0,2984384.40855957,4630752.91322594,4482530.89460117,1450947.26708013,0,4482530.89460117,14311254.6306172,1420889.14335729,2984384.40855957,14311254.6306172,14786726.7764834,3439525.40055758,1450947.26708013,2984384.40855957,3081285.36852024,14630836.1409484,15985147.0415529,0,0
"Philippines",1822715.58799878,1466992.84953744,4630752.91322594,3096480.44528784,3096480.44528784,3096480.44528784,3096480.44528784,3096480.44528784,19335840.0095175,2914546.91055817,2264646.59055604,13232391.660407,1466992.84953744,2378952.24182681,11779137.0306907,4630752.91322594,2914546.91055817,10322117.2355381,4630752.91322594,0,2264646.59055604,2620786.91851879,1466992.84953744,3065570.26733789,4630752.91322594,17125673.1000013,1466992.84953744,1466992.84953744,1822715.58799878,19335840.0095175,13186145.0222676,4630752.91322594,16445714.4524601,4630752.91322594,18155769.2889236,0,0,0,4630752.91322594,15647269.2363012,3096480.44528784,4630752.91322594,4630752.91322594,1822715.58799878,3096480.44528784,4630752.91322594,4630752.91322594,4630752.91322594,16445714.4524601,2264646.59055604,2354725.54235322,1466992.84953744,2378952.24182681,16445714.4524601,12249148.114004,14330794.2290945,14330794.2290945,2378952.24182681,2264646.59055604,1466992.84953744,1742756.92808498,16445714.4524601,15900838.9960553,4630752.91322594,3096480.44528784,0,1742756.92808498,5707212.71667098,4630752.91322594,1742756.92808498,16445714.4524601,4519393.62191589,3096480.44528784,16445714.4524601,19335840.0095175,2354725.54235322,5707212.71667098,3096480.44528784,2378952.24182681,16163351.9334757,17395330.3908644,4630752.91322594,4630752.91322594
"Thailand",565541.070688045,808761.542839056,2385678.58265188,2237673.62037567,2237673.62037567,2237673.62037567,2237673.62037567,2237673.62037567,17119391.8635444,853889.958536906,0,13888034.5071084,808761.542839056,1294161.10818198,9630790.97615651,2385678.58265188,853889.958536906,12571354.6362494,2385678.58265188,2264646.59055604,0,3460625.93728308,808761.542839056,4316476.31388094,2385678.58265188,17093092.9271796,808761.542839056,808761.542839056,565541.070688045,17119391.8635444,10957373.0026455,2385678.58265188,15998699.8293839,2385678.58265188,19154853.4735549,2264646.59055604,2264646.59055604,2264646.59055604,2385678.58265188,15865691.1898124,2237673.62037567,2385678.58265188,2385678.58265188,565541.070688045,2237673.62037567,2385678.58265188,2385678.58265188,2385678.58265188,15998699.8293839,0,1635466.02050583,808761.542839056,1294161.10818198,15998699.8293839,9989482.17528801,12176912.6213835,12176912.6213835,1294161.10818198,0,808761.542839056,2327159.86389195,15998699.8293839,16754779.6535037,2385678.58265188,2237673.62037567,2264646.59055604,2327159.86389195,3599889.20578994,2385678.58265188,2327159.86389195,15998699.8293839,2371775.81427662,2237673.62037567,15998699.8293839,17119391.8635444,1635466.02050583,3599889.20578994,2237673.62037567,1294161.10818198,16081590.9612212,17686042.531104,2385678.58265188,2385678.58265188
