"","Zhejiang","Reunion","Surabaya","Mekong Delta","Tahiti","French Polynesia","East Timor","Mekong Delta","Aragua","Bangkok","Bangkok","Kamphaeng Phet","Bangkok","Ivory Coast","Jeddah","Hawaii","Hyderabad","Goias","Surabaya","Surabaya","Dhaka","Karachi","East Timor","Bangkok","Bangkok","Surabaya","Bali","Jakarta","Bali"
"Ivory Coast",12902792.0145194,7386687.29328073,13231165.9187851,12158471.565499,15960872.7647746,15958234.6176589,14519536.2181519,12158471.565499,6787674.8706271,11532600.4152523,11532600.4152523,11368568.6521937,11532600.4152523,0,5042205.69158588,15550706.6795643,9139264.33437411,5523607.08167107,13231165.9187851,13231165.9187851,10282029.9923305,7908181.46169127,14519536.2181519,11532600.4152523,11532600.4152523,13231165.9187851,13508422.5553639,12572254.1959873,13508422.5553639
"Jeddah",8010080.39676716,5014165.98223839,8620701.53140716,7174502.41779788,19034275.938571,19037520.4285617,9907792.44867308,7174502.41779788,11280493.9239174,6521374.2109391,6521374.2109391,6337653.46538057,6521374.2109391,5042205.69158588,0,15174519.9976952,4136544.21769202,10549296.9477972,8620701.53140716,8620701.53140716,5243134.22609985,2868145.26693802,9907792.44867308,6521374.2109391,6521374.2109391,8620701.53140716,8917962.51284336,7977924.43002074,8917962.51284336
"Hawaii",8459747.87620813,16789391.8191362,10461549.5200138,10547228.6045066,4207430.42080589,4210912.63028093,9365469.35195418,10547228.6045066,9458464.86304365,10908774.6206386,10908774.6206386,10886730.0871565,10908774.6206386,15550706.6795643,15174519.9976952,0,12820325.321045,12213051.3101898,10461549.5200138,10461549.5200138,11389234.9727634,13251590.7942268,9365469.35195418,10908774.6206386,10908774.6206386,10461549.5200138,10251050.6017431,11036370.5495382,10251050.6017431
"Hyderabad",4396743.24980621,4940635.52701589,4651144.75261956,3038066.20216154,14960405.87308,14962826.0626737,5874442.10323093,3038066.20216154,15175359.2055832,2393708.06739922,2393708.06739922,2241932.72905684,2393708.06739922,9139264.33437411,4136544.21769202,12820325.321045,0,14533933.703216,4651144.75261956,4651144.75261956,1431311.07304387,1450232.53478078,5874442.10323093,2393708.06739922,2393708.06739922,4651144.75261956,4943655.02958966,4065661.20531584,4943655.02958966
"Goias",18195315.846409,10915474.0368466,16821519.9074533,17295059.956916,10468360.7850619,10465435.4037547,17092480.3025907,17295059.956916,3464696.87749189,16836172.2427835,16836172.2427835,16759941.6036847,16836172.2427835,5523607.08167107,10549296.9477972,12213051.3101898,14533933.703216,0,16821519.9074533,16821519.9074533,15788981.2478327,13416079.0449733,17092480.3025907,16836172.2427835,16836172.2427835,16821519.9074533,16864778.9449857,16483295.4023989,16864778.9449857
"Surabaya",4097578.14763238,6329396.74463993,0,2073265.72614502,10596484.4045048,10597973.5132551,1306699.49803153,2073265.72614502,19675002.4021748,2689499.61989379,2689499.61989379,3002873.10296327,2689499.61989379,13231165.9187851,8620701.53140716,10461549.5200138,4651144.75261956,16821519.9074533,0,0,4208172.61639259,6098907.88307653,1306699.49803153,2689499.61989379,2689499.61989379,0,297419.1871656,661776.893603968,297419.1871656
"Surabaya",4097578.14763238,6329396.74463993,0,2073265.72614502,10596484.4045048,10597973.5132551,1306699.49803153,2073265.72614502,19675002.4021748,2689499.61989379,2689499.61989379,3002873.10296327,2689499.61989379,13231165.9187851,8620701.53140716,10461549.5200138,4651144.75261956,16821519.9074533,0,0,4208172.61639259,6098907.88307653,1306699.49803153,2689499.61989379,2689499.61989379,0,297419.1871656,661776.893603968,297419.1871656
"Dhaka",2979908.90167678,6243808.31846203,4208172.61639259,2216455.12094615,13805370.0721812,13808256.2982237,5243209.15935179,2216455.12094615,15533203.2010452,1538099.5423089,1538099.5423089,1250318.10832803,1538099.5423089,10282029.9923305,5243134.22609985,11389234.9727634,1431311.07304387,15788981.2478327,4208172.61639259,4208172.61639259,0,2374991.88466737,5243209.15935179,1538099.5423089,1538099.5423089,4208172.61639259,4468154.1368465,3768080.95459688,4468154.1368465
"Karachi",5217047.65338781,5235854.41077227,6098907.88307653,4392991.91073257,16178366.9351962,16181306.4703004,7307902.78970563,4392991.91073257,13725133.2108691,3715849.81959099,3715849.81959099,3502592.61519728,3715849.81959099,7908181.46169127,2868145.26693802,13251590.7942268,1450232.53478078,13416079.0449733,6098907.88307653,6098907.88307653,2374991.88466737,0,7307902.78970563,3715849.81959099,3715849.81959099,6098907.88307653,6390323.78086955,5515814.1373739,6390323.78086955
"East Timor",4343139.33453345,7435226.21953582,1306699.49803153,3026921.05143978,9294731.71104689,9296283.02442567,0,3026921.05143978,18762496.5114566,3708302.58970758,3708302.58970758,3994452.92600733,3708302.58970758,14519536.2181519,9907792.44867308,9365469.35195418,5874442.10323093,17092480.3025907,1306699.49803153,1306699.49803153,5243209.15935179,7307902.78970563,0,3708302.58970758,3708302.58970758,1306699.49803153,1017589.37131071,1967654.45249001,1017589.37131071
"Bangkok",2618929.77474272,6247949.84600999,2689499.61989379,688869.698764837,12567158.3061068,12569605.0801923,3708302.58970758,688869.698764837,17034485.5406434,0,0,319508.444029225,0,11532600.4152523,6521374.2109391,10908774.6206386,2393708.06739922,16836172.2427835,2689499.61989379,2689499.61989379,1538099.5423089,3715849.81959099,3708302.58970758,0,0,2689499.61989379,2939886.04407551,2313675.87569783,2939886.04407551
"Bangkok",2618929.77474272,6247949.84600999,2689499.61989379,688869.698764837,12567158.3061068,12569605.0801923,3708302.58970758,688869.698764837,17034485.5406434,0,0,319508.444029225,0,11532600.4152523,6521374.2109391,10908774.6206386,2393708.06739922,16836172.2427835,2689499.61989379,2689499.61989379,1538099.5423089,3715849.81959099,3708302.58970758,0,0,2689499.61989379,2939886.04407551,2313675.87569783,2939886.04407551
"Surabaya",4097578.14763238,6329396.74463993,0,2073265.72614502,10596484.4045048,10597973.5132551,1306699.49803153,2073265.72614502,19675002.4021748,2689499.61989379,2689499.61989379,3002873.10296327,2689499.61989379,13231165.9187851,8620701.53140716,10461549.5200138,4651144.75261956,16821519.9074533,0,0,4208172.61639259,6098907.88307653,1306699.49803153,2689499.61989379,2689499.61989379,0,297419.1871656,661776.893603968,297419.1871656
"Bali",4184139.15929108,6538367.39651363,297419.1871656,2302984.61128536,10301253.0442008,10302722.4219054,1017589.37131071,2302984.61128536,19685210.2893347,2939886.04407551,2939886.04407551,3249179.29425269,2939886.04407551,13508422.5553639,8917962.51284336,10251050.6017431,4943655.02958966,16864778.9449857,297419.1871656,297419.1871656,4468154.1368465,6390323.78086955,1017589.37131071,2939886.04407551,2939886.04407551,297419.1871656,0,951729.971463123,0
"Jakarta",4145809.96521046,5765641.60048679,661776.893603968,1801217.46949281,11250904.1181669,11252338.502338,1967654.45249001,1801217.46949281,19240222.7522803,2313675.87569783,2313675.87569783,2633140.24967859,2313675.87569783,12572254.1959873,7977924.43002074,11036370.5495382,4065661.20531584,16483295.4023989,661776.893603968,661776.893603968,3768080.95459688,5515814.1373739,1967654.45249001,2313675.87569783,2313675.87569783,661776.893603968,951729.971463123,0,951729.971463123
"Bali",4184139.15929108,6538367.39651363,297419.1871656,2302984.61128536,10301253.0442008,10302722.4219054,1017589.37131071,2302984.61128536,19685210.2893347,2939886.04407551,2939886.04407551,3249179.29425269,2939886.04407551,13508422.5553639,8917962.51284336,10251050.6017431,4943655.02958966,16864778.9449857,297419.1871656,297419.1871656,4468154.1368465,6390323.78086955,1017589.37131071,2939886.04407551,2939886.04407551,297419.1871656,0,951729.971463123,0
