"2009",5,5,5,5,3,5,5,5,3,0,0,0,2,2,2,5,1,7,5,5,3,2,6,23,49,2,2,1,0,2,1,1,1,1,27,21,6,0,9,5,2,2,4,1,1,0,1,1,21,16,8,29,4,5,15,14,29,4,31,9,15,4,13,9,4,37,41,35,26,64,2,47,46,39,1,0,8,2,5,5,5,15,4,13,13,16,4,2,4,4,4,1,47,30,4,4,4,5,2,2,3,4,4,4,1,1,4,4,3,14,18,3,4,36,15,29,8,4,43,1,1,1,2,2,4,3,1,13,5,1
"2009",5,5,5,5,3,5,5,5,3,0,0,0,2,2,2,5,1,7,5,5,3,2,6,23,49,2,2,1,0,2,1,1,1,1,27,21,6,0,9,5,2,2,4,1,1,0,1,1,21,16,8,29,4,5,15,14,29,4,31,9,15,4,13,9,4,37,41,35,26,64,2,47,46,39,1,0,8,2,5,5,5,15,4,13,13,16,4,2,4,4,4,1,47,30,4,4,4,5,2,2,3,4,4,4,1,1,4,4,3,14,18,3,4,36,15,29,8,4,43,1,1,1,2,2,4,3,1,13,5,1
"2009",5,5,5,5,3,5,5,5,3,0,0,0,2,2,2,5,1,7,5,5,3,2,6,23,49,2,2,1,0,2,1,1,1,1,27,21,6,0,9,5,2,2,4,1,1,0,1,1,21,16,8,29,4,5,15,14,29,4,31,9,15,4,13,9,4,37,41,35,26,64,2,47,46,39,1,0,8,2,5,5,5,15,4,13,13,16,4,2,4,4,4,1,47,30,4,4,4,5,2,2,3,4,4,4,1,1,4,4,3,14,18,3,4,36,15,29,8,4,43,1,1,1,2,2,4,3,1,13,5,1
"2011",3,3,3,3,1,3,3,3,1,2,2,2,0,0,0,3,1,9,7,7,5,0,8,25,51,0,0,1,2,0,1,1,1,1,29,23,8,2,11,7,0,4,6,3,1,2,1,1,23,18,10,31,6,7,17,16,31,6,33,11,17,6,15,11,6,39,43,37,28,66,4,49,48,41,1,2,10,4,7,7,7,17,6,15,15,18,2,0,2,2,2,1,49,32,2,2,2,3,0,0,1,2,2,2,1,1,2,6,5,16,20,5,6,38,17,31,10,2,45,1,1,1,4,0,2,1,1,15,3,1
"2011",3,3,3,3,1,3,3,3,1,2,2,2,0,0,0,3,1,9,7,7,5,0,8,25,51,0,0,1,2,0,1,1,1,1,29,23,8,2,11,7,0,4,6,3,1,2,1,1,23,18,10,31,6,7,17,16,31,6,33,11,17,6,15,11,6,39,43,37,28,66,4,49,48,41,1,2,10,4,7,7,7,17,6,15,15,18,2,0,2,2,2,1,49,32,2,2,2,3,0,0,1,2,2,2,1,1,2,6,5,16,20,5,6,38,17,31,10,2,45,1,1,1,4,0,2,1,1,15,3,1
"2011",3,3,3,3,1,3,3,3,1,2,2,2,0,0,0,3,1,9,7,7,5,0,8,25,51,0,0,1,2,0,1,1,1,1,29,23,8,2,11,7,0,4,6,3,1,2,1,1,23,18,10,31,6,7,17,16,31,6,33,11,17,6,15,11,6,39,43,37,28,66,4,49,48,41,1,2,10,4,7,7,7,17,6,15,15,18,2,0,2,2,2,1,49,32,2,2,2,3,0,0,1,2,2,2,1,1,2,6,5,16,20,5,6,38,17,31,10,2,45,1,1,1,4,0,2,1,1,15,3,1
"2014",0,0,0,0,2,0,0,0,2,5,5,5,3,3,3,0,4,12,10,10,8,3,11,28,54,3,3,4,5,3,4,4,4,4,32,26,11,5,14,10,3,7,9,6,4,5,4,4,26,21,13,34,9,10,20,19,34,9,36,14,20,9,18,14,9,42,46,40,31,69,7,52,51,44,4,5,13,7,10,10,10,20,9,18,18,21,1,3,1,1,1,4,52,35,1,1,1,0,3,3,2,1,1,1,4,4,1,9,8,19,23,8,9,41,20,34,13,1,48,4,4,4,7,3,1,2,4,18,0,4
"2010",4,4,4,4,2,4,4,4,2,1,1,1,1,1,1,4,0,8,6,6,4,1,7,24,50,1,1,0,1,1,0,0,0,0,28,22,7,1,10,6,1,3,5,2,0,1,0,0,22,17,9,30,5,6,16,15,30,5,32,10,16,5,14,10,5,38,42,36,27,65,3,48,47,40,0,1,9,3,6,6,6,16,5,14,14,17,3,1,3,3,3,0,48,31,3,3,3,4,1,1,2,3,3,3,0,0,3,5,4,15,19,4,5,37,16,30,9,3,44,0,0,0,3,1,3,2,0,14,4,0
"2002",12,12,12,12,10,12,12,12,10,7,7,7,9,9,9,12,8,0,2,2,4,9,1,16,42,9,9,8,7,9,8,8,8,8,20,14,1,7,2,2,9,5,3,6,8,7,8,8,14,9,1,22,3,2,8,7,22,3,24,2,8,3,6,2,3,30,34,28,19,57,5,40,39,32,8,7,1,5,2,2,2,8,3,6,6,9,11,9,11,11,11,8,40,23,11,11,11,12,9,9,10,11,11,11,8,8,11,3,4,7,11,4,3,29,8,22,1,11,36,8,8,8,5,9,11,10,8,6,12,8
"2004",10,10,10,10,8,10,10,10,8,5,5,5,7,7,7,10,6,2,0,0,2,7,1,18,44,7,7,6,5,7,6,6,6,6,22,16,1,5,4,0,7,3,1,4,6,5,6,6,16,11,3,24,1,0,10,9,24,1,26,4,10,1,8,4,1,32,36,30,21,59,3,42,41,34,6,5,3,3,0,0,0,10,1,8,8,11,9,7,9,9,9,6,42,25,9,9,9,10,7,7,8,9,9,9,6,6,9,1,2,9,13,2,1,31,10,24,3,9,38,6,6,6,3,7,9,8,6,8,10,6
"2004",10,10,10,10,8,10,10,10,8,5,5,5,7,7,7,10,6,2,0,0,2,7,1,18,44,7,7,6,5,7,6,6,6,6,22,16,1,5,4,0,7,3,1,4,6,5,6,6,16,11,3,24,1,0,10,9,24,1,26,4,10,1,8,4,1,32,36,30,21,59,3,42,41,34,6,5,3,3,0,0,0,10,1,8,8,11,9,7,9,9,9,6,42,25,9,9,9,10,7,7,8,9,9,9,6,6,9,1,2,9,13,2,1,31,10,24,3,9,38,6,6,6,3,7,9,8,6,8,10,6
"2006",8,8,8,8,6,8,8,8,6,3,3,3,5,5,5,8,4,4,2,2,0,5,3,20,46,5,5,4,3,5,4,4,4,4,24,18,3,3,6,2,5,1,1,2,4,3,4,4,18,13,5,26,1,2,12,11,26,1,28,6,12,1,10,6,1,34,38,32,23,61,1,44,43,36,4,3,5,1,2,2,2,12,1,10,10,13,7,5,7,7,7,4,44,27,7,7,7,8,5,5,6,7,7,7,4,4,7,1,0,11,15,0,1,33,12,26,5,7,40,4,4,4,1,5,7,6,4,10,8,4
"2011",3,3,3,3,1,3,3,3,1,2,2,2,0,0,0,3,1,9,7,7,5,0,8,25,51,0,0,1,2,0,1,1,1,1,29,23,8,2,11,7,0,4,6,3,1,2,1,1,23,18,10,31,6,7,17,16,31,6,33,11,17,6,15,11,6,39,43,37,28,66,4,49,48,41,1,2,10,4,7,7,7,17,6,15,15,18,2,0,2,2,2,1,49,32,2,2,2,3,0,0,1,2,2,2,1,1,2,6,5,16,20,5,6,38,17,31,10,2,45,1,1,1,4,0,2,1,1,15,3,1
