"2013",12,6,57,1,16,18,22,10,5,11,18,69,5,41,0,0,15,4,42,3,32,9,6,1,6,4,7,6,5,5,27,2,7,4,11,12,15,13,6,32,1,17,42,12,15,8,53,33,44,49,1,6,5,11,47,14,39,43,23,7,38,19,13,29,0,16,9,5,47,5,8,24,0,19,1,8,4,35,38,1,16,52,34
"2013",12,6,57,1,16,18,22,10,5,11,18,69,5,41,0,0,15,4,42,3,32,9,6,1,6,4,7,6,5,5,27,2,7,4,11,12,15,13,6,32,1,17,42,12,15,8,53,33,44,49,1,6,5,11,47,14,39,43,23,7,38,19,13,29,0,16,9,5,47,5,8,24,0,19,1,8,4,35,38,1,16,52,34
"1998",3,9,42,16,1,3,7,5,10,4,3,54,10,26,15,15,0,11,27,18,17,6,9,16,9,11,8,9,10,10,12,13,8,11,4,3,0,2,9,17,14,2,27,3,0,7,38,18,29,34,14,9,10,4,32,1,24,28,8,8,23,4,2,14,15,1,6,10,32,10,7,9,15,4,14,7,11,20,23,16,1,37,19
"2009",8,2,53,5,12,14,18,6,1,7,14,65,1,37,4,4,11,0,38,7,28,5,2,5,2,0,3,2,1,1,23,2,3,0,7,8,11,9,2,28,3,13,38,8,11,4,49,29,40,45,3,2,1,7,43,10,35,39,19,3,34,15,9,25,4,12,5,1,43,1,4,20,4,15,3,4,0,31,34,5,12,48,30
"1971",30,36,15,43,26,24,20,32,37,31,24,27,37,1,42,42,27,38,0,45,10,33,36,43,36,38,35,36,37,37,15,40,35,38,31,30,27,29,36,10,41,25,0,30,27,34,11,9,2,7,41,36,37,31,5,28,3,1,19,35,4,23,29,13,42,26,33,37,5,37,34,18,42,23,41,34,38,7,4,43,26,10,8
"2016",15,9,60,2,19,21,25,13,8,14,21,72,8,44,3,3,18,7,45,0,35,12,9,2,9,7,10,9,8,8,30,5,10,7,14,15,18,16,9,35,4,20,45,15,18,11,56,36,47,52,4,9,8,14,50,17,42,46,26,10,41,22,16,32,3,19,12,8,50,8,11,27,3,22,4,11,7,38,41,2,19,55,37
"1981",20,26,25,33,16,14,10,22,27,21,14,37,27,9,32,32,17,28,10,35,0,23,26,33,26,28,25,26,27,27,5,30,25,28,21,20,17,19,26,0,31,15,10,20,17,24,21,1,12,17,31,26,27,21,15,18,7,11,9,25,6,13,19,3,32,16,23,27,15,27,24,8,32,13,31,24,28,3,6,33,16,20,2
"2004",3,3,48,10,7,9,13,1,4,2,9,60,4,32,9,9,6,5,33,12,23,0,3,10,3,5,2,3,4,4,18,7,2,5,2,3,6,4,3,23,8,8,33,3,6,1,44,24,35,40,8,3,4,2,38,5,30,34,14,2,29,10,4,20,9,7,0,4,38,4,1,15,9,10,8,1,5,26,29,10,7,43,25
"2007",6,0,51,7,10,12,16,4,1,5,12,63,1,35,6,6,9,2,36,9,26,3,0,7,0,2,1,0,1,1,21,4,1,2,5,6,9,7,0,26,5,11,36,6,9,2,47,27,38,43,5,0,1,5,41,8,33,37,17,1,32,13,7,23,6,10,3,1,41,1,2,18,6,13,5,2,2,29,32,7,10,46,28
"2014",13,7,58,0,17,19,23,11,6,12,19,70,6,42,1,1,16,5,43,2,33,10,7,0,7,5,8,7,6,6,28,3,8,5,12,13,16,14,7,33,2,18,43,13,16,9,54,34,45,50,2,7,6,12,48,15,40,44,24,8,39,20,14,30,1,17,10,6,48,6,9,25,1,20,2,9,5,36,39,0,17,53,35
"2007",6,0,51,7,10,12,16,4,1,5,12,63,1,35,6,6,9,2,36,9,26,3,0,7,0,2,1,0,1,1,21,4,1,2,5,6,9,7,0,26,5,11,36,6,9,2,47,27,38,43,5,0,1,5,41,8,33,37,17,1,32,13,7,23,6,10,3,1,41,1,2,18,6,13,5,2,2,29,32,7,10,46,28
