"2000",7,14,3,5,9,3,8,56,8,9,29,19,7,14,9,6,7,8,11,9,2,12,4,29,2,5,40,20,7,10,6,0,4,8,34,8,13,12,9,22,3
"2004",3,10,7,9,13,1,4,60,4,5,33,23,3,10,5,2,3,4,7,5,2,8,8,33,6,1,44,24,3,14,2,4,0,4,38,4,9,8,5,26,7
"2008",1,6,11,13,17,5,0,64,0,1,37,27,1,6,1,2,1,0,3,1,6,4,12,37,10,3,48,28,1,18,2,8,4,0,42,0,5,4,1,30,11
"1966",41,48,31,29,25,37,42,22,42,43,5,15,41,48,43,40,41,42,45,43,36,46,30,5,32,39,6,14,41,24,40,34,38,42,0,42,47,46,43,12,31
"2008",1,6,11,13,17,5,0,64,0,1,37,27,1,6,1,2,1,0,3,1,6,4,12,37,10,3,48,28,1,18,2,8,4,0,42,0,5,4,1,30,11
"2013",6,1,16,18,22,10,5,69,5,4,42,32,6,1,4,7,6,5,2,4,11,1,17,42,15,8,53,33,6,23,7,13,9,5,47,5,0,1,4,35,16
"2012",5,2,15,17,21,9,4,68,4,3,41,31,5,2,3,6,5,4,1,3,10,0,16,41,14,7,52,32,5,22,6,12,8,4,46,4,1,0,3,34,15
"2009",2,5,12,14,18,6,1,65,1,0,38,28,2,5,0,3,2,1,2,0,7,3,13,38,11,4,49,29,2,19,3,9,5,1,43,1,4,3,0,31,12
"1978",29,36,19,17,13,25,30,34,30,31,7,3,29,36,31,28,29,30,33,31,24,34,18,7,20,27,18,2,29,12,28,22,26,30,12,30,35,34,31,0,19
"1997",10,17,0,2,6,6,11,53,11,12,26,16,10,17,12,9,10,11,14,12,5,15,1,26,1,8,37,17,10,7,9,3,7,11,31,11,16,15,12,19,0
